CATEGORY,AREA_CD,AREA_NM,TOT_REG_CD,ADM_NM,ADM_CD,REG_AREA,AREA,RATE,Area to st,Area to _1
인구밀집지역,POI026,미아사거리역,"1109071040005",송중동,"1109071",13886.17,9495.522,0.684,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040007",송중동,"1109071",61775.80,61775.804,1.000,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040009",송중동,"1109071",9897.12,677.027,0.068,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040001",송중동,"1109071",23881.97,18551.089,0.777,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040002",송중동,"1109071",8805.65,3400.792,0.386,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040003",송중동,"1109071",19212.77,19212.767,1.000,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040012",송중동,"1109071",14850.15,14850.153,1.000,"414",성북
인구밀집지역,POI026,미아사거리역,"1109071040008",송중동,"1109071",12625.46,8631.425,0.684,"414",성북
인구밀집지역,POI026,미아사거리역,"1109072040010",송천동,"1109072",30890.10,15093.718,0.489,"414",성북
인구밀집지역,POI026,미아사거리역,"1109072050002",송천동,"1109072",72395.46,38629.336,0.534,"414",성북
인구밀집지역,POI026,미아사거리역,"1108068010004",길음2동,"1108068",81427.10,31061.520,0.381,"414",성북
인구밀집지역,POI026,미아사거리역,"1108068010003",길음2동,"1108068",41124.03,31931.629,0.776,"414",성북
인구밀집지역,POI026,미아사거리역,"1108068020001",길음2동,"1108068",50930.03,6337.406,0.124,"414",성북
인구밀집지역,POI026,미아사거리역,"1108071050002",월곡1동,"1108071",83512.68,12964.127,0.155,"414",성북
인구밀집지역,POI027,발산역,"1116054040001",등촌3동,"1116054",180763.36,127029.336,0.703,"404",강서
인구밀집지역,POI027,발산역,"1116064050004",가양1동,"1116064",101749.29,101749.286,1.000,"404",강서
인구밀집지역,POI027,발산역,"1116064050007",가양1동,"1116064",44280.10,14375.888,0.325,"404",강서
인구밀집지역,POI027,발산역,"1116067010013",발산1동,"1116067",364958.78,24410.874,0.067,"404",강서
인구밀집지역,POI027,발산역,"1116074010004",우장산동,"1116074",134420.27,78607.113,0.585,"404",강서
인구밀집지역,POI027,발산역,"1116074010001",우장산동,"1116074",11412.12,9946.687,0.872,"404",강서
인구밀집지역,POI027,발산역,"1116074010203",우장산동,"1116074",10969.76,2188.037,0.199,"404",강서
인구밀집지역,POI027,발산역,"1116074010204",우장산동,"1116074",7134.06,383.674,0.054,"404",강서
인구밀집지역,POI027,발산역,"1116074010210",우장산동,"1116074",10167.19,3883.066,0.382,"404",강서
인구밀집지역,POI027,발산역,"1116074010214",우장산동,"1116074",5120.43,1002.458,0.196,"404",강서
인구밀집지역,POI028,북한산우이역,"1109074010008",우이동,"1109074",35011.57,35011.570,1.000,"406",도봉
인구밀집지역,POI028,북한산우이역,"1109074010002",우이동,"1109074",17082.89,17082.888,1.000,"406",도봉
인구밀집지역,POI029,사당역,"1122063030010",방배2동,"1122063",7978.07,7977.148,1.000,"425",남현
인구밀집지역,POI029,사당역,"1122063030007",방배2동,"1122063",64856.47,43538.915,0.671,"425",남현
인구밀집지역,POI029,사당역,"1122063030005",방배2동,"1122063",66328.10,44422.899,0.670,"425",남현
인구밀집지역,POI029,사당역,"1122063030004",방배2동,"1122063",11667.84,2651.900,0.227,"425",남현
인구밀집지역,POI029,사당역,"1122063030002",방배2동,"1122063",15990.07,15990.069,1.000,"425",남현
인구밀집지역,POI029,사당역,"1122063030001",방배2동,"1122063",12050.61,12011.776,0.997,"425",남현
인구밀집지역,POI029,사당역,"1121063020013",남현동,"1121063",7117.50,7078.600,0.995,"425",남현
인구밀집지역,POI029,사당역,"1121063020002",남현동,"1121063",15725.29,6292.284,0.400,"425",남현
인구밀집지역,POI029,사당역,"1121063020015",남현동,"1121063",31438.33,10235.814,0.326,"425",남현
인구밀집지역,POI029,사당역,"1121063020010",남현동,"1121063",8301.04,8301.040,1.000,"425",남현
인구밀집지역,POI029,사당역,"1121063020011",남현동,"1121063",40613.30,40566.555,0.999,"425",남현
인구밀집지역,POI029,사당역,"1120063010001",사당1동,"1120063",12550.11,7013.727,0.559,"425",남현
인구밀집지역,POI029,사당역,"1120063010002",사당1동,"1120063",34506.03,28705.254,0.832,"425",남현
인구밀집지역,POI029,사당역,"1120063010005",사당1동,"1120063",15512.14,15509.785,1.000,"425",남현
인구밀집지역,POI029,사당역,"1120063010006",사당1동,"1120063",13523.75,13523.748,1.000,"425",남현
인구밀집지역,POI029,사당역,"1120063010010",사당1동,"1120063",11711.70,11708.944,1.000,"425",남현
인구밀집지역,POI029,사당역,"1120063010012",사당1동,"1120063",11891.99,11891.987,1.000,"425",남현
인구밀집지역,POI029,사당역,"1120063010009",사당1동,"1120063",27323.93,13326.738,0.488,"425",남현
인구밀집지역,POI029,사당역,"1120063010008",사당1동,"1120063",11060.26,3249.078,0.294,"425",남현
인구밀집지역,POI029,사당역,"1120063010014",사당1동,"1120063",40646.43,40646.427,1.000,"425",남현
인구밀집지역,POI030,삼각지역,"1103073010202",한강로동,"1103073",14235.70,7652.140,0.538,"415",용산
인구밀집지역,POI030,삼각지역,"1103073010201",한강로동,"1103073",12557.90,1826.979,0.145,"415",용산
인구밀집지역,POI030,삼각지역,"1103073020003",한강로동,"1103073",254749.16,15768.757,0.062,"415",용산
인구밀집지역,POI030,삼각지역,"1103073030005",한강로동,"1103073",68814.15,28052.004,0.408,"415",용산
인구밀집지역,POI030,삼각지역,"1103073030004",한강로동,"1103073",921685.39,8365.282,0.010,"415",용산
인구밀집지역,POI031,서울대입구역,"1121057020004",행운동,"1121057",14014.10,8246.821,0.588,"509",관악
인구밀집지역,POI031,서울대입구역,"1121057020005",행운동,"1121057",11917.12,2185.216,0.183,"509",관악
인구밀집지역,POI031,서울대입구역,"1121057020001",행운동,"1121057",60349.01,33819.687,0.560,"509",관악
인구밀집지역,POI031,서울대입구역,"1121058010004",낙성대동,"1121058",13901.47,13897.801,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121058010007",낙성대동,"1121058",28966.52,28960.378,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121058010019",낙성대동,"1121058",8335.72,8335.585,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121058010018",낙성대동,"1121058",20561.30,11148.580,0.542,"509",관악
인구밀집지역,POI031,서울대입구역,"1121058010101",낙성대동,"1121058",8746.59,8746.587,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121061010009",중앙동,"1121061",28843.96,5053.637,0.175,"509",관악
인구밀집지역,POI031,서울대입구역,"1121061010004",중앙동,"1121061",15012.21,2170.446,0.145,"509",관악
인구밀집지역,POI031,서울대입구역,"1121061010701",중앙동,"1121061",5356.85,5356.854,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121061020001",중앙동,"1121061",9472.51,9471.423,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121061020002",중앙동,"1121061",10652.01,10652.005,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121080010030",청룡동,"1121080",9137.02,9137.024,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121080010019",청룡동,"1121080",6766.21,6766.209,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121080010005",청룡동,"1121080",29602.92,29602.924,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121080010301",청룡동,"1121080",1860.47,1860.472,1.000,"509",관악
인구밀집지역,POI031,서울대입구역,"1121080011201",청룡동,"1121080",11219.12,8669.499,0.773,"509",관악
인구밀집지역,POI032,서울식물원·마곡나루역,"1116064050003",가양1동,"1116064",1364937.27,512489.361,0.375,"404",강서
인구밀집지역,POI032,서울식물원·마곡나루역,"1116070050206",방화1동,"1116070",117290.55,78863.717,0.672,"404",강서
인구밀집지역,POI033,서울역,"1102054020001",회현동,"1102054",45128.08,45123.582,1.000,"419",중구
인구밀집지역,POI033,서울역,"1102054030001",회현동,"1102054",139267.25,139258.544,1.000,"419",중구
인구밀집지역,POI033,서울역,"1102054040001",회현동,"1102054",76379.68,76376.619,1.000,"419",중구
인구밀집지역,POI033,서울역,"1102054060001",회현동,"1102054",115247.45,115242.362,1.000,"419",중구
인구밀집지역,POI034,선릉역,"1123059030006",삼성2동,"1123059",21469.33,7175.346,0.334,"401",서초
인구밀집지역,POI034,선릉역,"1123059030004",삼성2동,"1123059",273853.98,261252.762,0.954,"401",서초
인구밀집지역,POI034,선릉역,"1123059030002",삼성2동,"1123059",76044.12,76044.122,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123059030001",삼성2동,"1123059",72669.54,56827.535,0.782,"401",서초
인구밀집지역,POI034,선릉역,"1123063010003",대치4동,"1123063",61827.13,52490.646,0.849,"401",서초
인구밀집지역,POI034,선릉역,"1123063010002",대치4동,"1123063",67027.88,67027.881,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123063010005",대치4동,"1123063",12291.35,5231.774,0.426,"401",서초
인구밀집지역,POI034,선릉역,"1123063010004",대치4동,"1123063",8977.72,6591.900,0.734,"401",서초
인구밀집지역,POI034,선릉역,"1123063010011",대치4동,"1123063",19969.81,19969.815,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123063010009",대치4동,"1123063",31391.61,31391.574,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123063010301",대치4동,"1123063",6508.52,6508.516,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123063010701",대치4동,"1123063",2090.06,2090.056,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123064010008",역삼1동,"1123064",49672.54,4912.963,0.099,"401",서초
인구밀집지역,POI034,선릉역,"1123064010001",역삼1동,"1123064",85017.80,85017.123,1.000,"401",서초
인구밀집지역,POI034,선릉역,"1123064010004",역삼1동,"1123064",59276.89,39727.309,0.670,"401",서초
인구밀집지역,POI034,선릉역,"1123065010001",역삼2동,"1123065",77825.87,77825.024,1.000,"401",서초
인구밀집지역,POI035,성신여대입구역,"1108082010001",삼선동,"1108082",45744.62,8651.347,0.189,"414",성북
인구밀집지역,POI035,성신여대입구역,"1108082010002",삼선동,"1108082",38851.77,19244.124,0.495,"414",성북
인구밀집지역,POI035,성신여대입구역,"1108083010005",동선동,"1108083",26408.06,15947.763,0.604,"414",성북
